tg_id,username,referrer_tg_id,referral_balance,balance,first_payment_done,created_at
2105111334,CANDDYBO1,5948443396,0,0,f,2026-02-10 18:12:14.308902+00
5948443396,szploxy,,75,0,f,2026-02-10 13:36:47.390643+00
969494698,slo1nk,5987926733,0,0,f,2026-02-11 04:03:30.953471+00
6098156904,Dev0n_hndrx,,0,0,f,2026-02-11 04:57:05.116561+00
1183899694,,,0,0,f,2026-02-03 13:12:37.220048+00
252033906,brhdshba,,0,0,f,2026-02-03 13:08:48.221712+00
326913987,,1008994432,0,0,f,2026-03-23 08:17:22.264568+00
641718270,rea1G,6098156904,0,0,f,2026-02-11 04:58:35.299637+00
5255574650,,,0,0,f,2026-02-03 13:03:42.504775+00
641636384,Razorb58,,0,0,f,2026-02-11 05:00:59.689307+00
1388134204,mupkiin,5948443396,0,0,f,2026-02-11 07:04:10.889111+00
1338957512,ChinaChingishanovich,,0,0,f,2026-02-11 09:50:34.283869+00
7369647098,lwsisasha,,0,0,f,2026-02-09 18:41:02.246945+00
5733257338,,,0,0,f,2026-02-10 14:20:28.052449+00
1227632265,VICTY666,,0,0,f,2026-02-10 14:30:21.011221+00
1629124928,knopa_skr,,0,0,f,2026-03-26 19:48:22.62376+00
1617518618,,,0,0,f,2026-02-17 06:31:00.711968+00
5675403580,,5229831062,0,0,f,2026-02-26 09:31:56.413123+00
1753480332,nenavijy666,,0,0,f,2026-02-18 14:16:21.974426+00
1780863102,gyfrfhb,,0,0,f,2026-03-27 03:52:42.442384+00
5037974893,bersiip,5948443396,0,0,f,2026-02-12 04:27:27.149346+00
5861751699,zopa0017,,0,0,f,2026-03-24 10:29:57.537822+00
6119303931,,,0,0,f,2026-03-02 03:30:19.208088+00
821740830,SkytNinja,,0,29250,f,2026-02-03 12:38:46.618015+00
5116462308,Iliketosleepppp,5948443396,0,0,f,2026-02-10 19:15:23.32016+00
1188959492,dddozy,,0,0,f,2026-03-28 16:26:44.840098+00
5247808192,bbbbbbbbph,,0,0,f,2026-02-21 12:31:25.836457+00
5987926733,GZD_779,5948443396,0,0,f,2026-02-10 14:51:44.40112+00
238916803,vasek_n,,0,0,f,2026-02-12 20:03:31.960501+00
5681400162,liza_srg_a,5948443396,0,0,f,2026-03-05 19:15:02.513773+00
1008994432,s1aveeek,,0,0,f,2026-02-10 14:42:29.689317+00
413073147,KorA_2728,,0,0,f,2026-02-13 15:41:13.713403+00
8598904248,nyxsupportvpn,,0,0,f,2026-02-14 09:02:37.745647+00
5229831062,shpscr,5948443396,0,0,t,2026-02-10 17:30:50.046182+00
1314105611,KosPar01,,0,0,f,2026-02-15 09:10:28.278117+00
979515364,,,0,0,f,2026-02-15 09:59:05.135287+00
6965462589,Kyke_7,5229831062,0,0,f,2026-02-14 19:02:18.643041+00
1990925580,wq1mss,,0,0,f,2026-03-02 12:50:33.473588+00
1459258114,I_II_II_II_I,,0,0,f,2026-03-17 17:51:44.170569+00
469120198,Fat_and_depressed,,0,0,f,2026-03-22 20:35:35.727552+00
